00:46,"Jay Agarwal","How is Chum Chum doing now?"
00:50,"Arch Munshi","She's, I think getting bigger here."
00:54,"Arch Munshi","We haven't gone back to normal diet yet, but."
01:03,"Jay Agarwal","Yeah, it's a"
01:06,"Jay Agarwal","stressful experience."
01:08,"Arch Munshi","Yes,"
01:14,"Jay Agarwal","Well, the market went up today for a change."
01:20,"Arch Munshi","And what is the reason for that?"
01:22,"Jay Agarwal","Because the Supreme Court"
01:27,"Jay Agarwal","knocked down the tariff."
01:35,"Cornell & NYU Initiative",Hi.
01:38,"Jay Agarwal",Hello.
01:39,"Cornell & NYU Initiative","Let me see if Siobhan is joining really quick. One second."
01:43,"Jay Agarwal","All right."
01:49,"Cornell & NYU Initiative","And I will have my camera on today. Feeling just a little bit better."
01:54,"Cornell & NYU Initiative","Here we go. Hello. Good to officially see. See you both or to have you."
02:01,"Cornell & NYU Initiative",Yeah.
02:03,"Cornell & NYU Initiative","Happy Friday."
02:06,"Jay Agarwal","Happy Friday. That is for sure. Yes."
02:10,"Cornell & NYU Initiative","I've been waiting for for Friday since Monday. So I'm very happy about that."
02:16,"Jay Agarwal","Yeah, yeah,"
02:19,"Jay Agarwal","yeah. We are running on fumes today."
02:22,"Cornell & NYU Initiative",Really.
02:25,"Jay Agarwal","I'm looking forward to. I have, I have some personal plans."
02:30,"Cornell & NYU Initiative","Oh, fun."
02:30,"Jay Agarwal",And
02:32,"Jay Agarwal","I am looking forward to"
02:36,"Jay Agarwal","having a glass of drink."
02:39,"Cornell & NYU Initiative",Right.
02:42,"Arch Munshi","Are you going to New York this weekend?"
02:44,"Jay Agarwal","No, no, no, no, I'm not. No. That is next weekend. I think we have plans to go."
02:57,"Cornell & NYU Initiative","Hij. Happy Friday."
02:58,"Cornell & NYU Initiative",Hey.
02:59,"Jay Agarwal","How are you? How are you?"
03:01,"Cornell & NYU Initiative","Not too bad, can't complain. I mean the weather is kind of,"
03:05,"Cornell & NYU Initiative","I guess, for lack of a better word, like crappy."
03:09,"Jay Agarwal","Yeah, it is crap."
03:11,"Cornell & NYU Initiative","It's. And snow and"
03:14,"Cornell & NYU Initiative","sometimes it's hot. It's like, it's like, it's. It's unpredictable. But."
03:18,"Jay Agarwal","Yeah, yeah, no, I agree. I agree."
03:23,"Jay Agarwal","It's supposed to snow on Sunday."
03:26,"Cornell & NYU Initiative",Really?
03:27,"Jay Agarwal","Yeah, Saturday through Saturday through."
03:31,"Jay Agarwal","I don't know."
03:33,"Cornell & NYU Initiative","Actually, you're right."
03:34,"Jay Agarwal",Yeah.
03:35,"Cornell & NYU Initiative","Saturday and Sunday."
03:36,"Jay Agarwal","Saturday night Saturday and Sunday and then maybe early morning Monday or something like that. Anyhow,"
03:42,"Jay Agarwal","hey, look, thank you very much"
03:46,"Jay Agarwal","and look, I am happy to help in any way I can."
03:53,"Jay Agarwal","You know,"
03:55,"Jay Agarwal",I.
03:58,"Jay Agarwal","This is paying forward. Right. So."
04:02,"Jay Agarwal","And I'm a big believer in paying forward. So we can definitely help in. So let's do this."
04:10,"Cornell & NYU Initiative",Let's.
04:10,"Jay Agarwal","Let us show you."
04:12,"Jay Agarwal","Let's take care of the easy part. I'm just gonna look at your email once again."
04:18,"Cornell & NYU Initiative","Yeah, there were some things I like listed out."
04:21,"Jay Agarwal","Yeah, there's a couple of easy things that I think we can definitely knock off, which is"
04:29,"Jay Agarwal","credentialing. Absolutely happy to do that. Not a problem. And we can take care of it."
04:37,"Jay Agarwal",And.
04:39,"Jay Agarwal","And then we already talked to the Missouri"
04:44,"Jay Agarwal","customer that we have."
04:46,"Jay Agarwal","She's happy to."
04:50,"Jay Agarwal","To kind of, you know, get the referrals from you guys."
04:53,"Cornell & NYU Initiative",Okay.
04:55,"Jay Agarwal","And what I'll do is as next steps on that,"
05:03,"Jay Agarwal","I'll connect you, the two of you together and. And kind of you guys go from there. I have. Okay. I don't want to be part of it in terms of. Yeah, this is. I don't want. I'm not trying to gain anything out of it. I just say, you know, two partners, you know, essentially talking it out and kind of go from there. Okay. And then the same thing for New York providers. So we have. We are. We are working with a clinic."
05:30,"Jay Agarwal","They're rapidly expanding,"
05:34,"Jay Agarwal","and they have their credentializing in. In the state of New York and New Jersey. And"
05:43,"Jay Agarwal","so timing is the only critical part. Right."
05:48,"Jay Agarwal","So are you looking like now or in the new year? In the new school year, I should"
05:53,"Cornell & NYU Initiative",say
05:54,"Cornell & NYU Initiative","now for sure."
05:56,"Cornell & NYU Initiative","At least the next, maybe like month or two."
06:00,"Arch Munshi",Okay.
06:00,"Jay Agarwal","So this could actually happen in about two months. Right. But I want to be very transparent. Right. And say they are going through the credentialing process. You know, as, you know, it takes a little bit of time. Yeah, Right."
06:17,"Jay Agarwal","But they already credentialed in. In Pennsylvania and Delaware and Maryland,"
06:24,"Jay Agarwal","and they are."
06:26,"Jay Agarwal","They are 100% telehealth, you know, organization. Right. So"
06:32,"Jay Agarwal","they can definitely"
